"REGISTER_ID","OUTLET_ID","REGISTER_NAME","CASH_ACCOUNT","CASH_ACCOUNT_ID","BANK_ACCOUNT","BANK_ACCOUNT_ID","VERSION","DELETED_AT","REGION","GIFT_ACCOUNT","GIFT_ACCOUNT_ID"
"382","223",WADILABAN,CashWADILABAN,300000035114611,AL Jazeerah Bank WADILABAN ACC # 015795017321049,300000035114647,,,SA,,
"383","224",RASHIDABHA,CashRASHIDABHA,300000035114614,AL Jazeerah Bank RASHIDABHA ACC # 015795017321050,300000035114650,,,SA,,
"384","225",RASHIDJZN,CashRASHIDJZN,300000035114617,AL Jazeerah Bank RASHIDJZN ACC # 015795017321051,300000035114653,,,SA,,
"385","226",RASHIDMAD,CashRASHIDMAD,300000035114621,AL Jazeerah Bank RASHIDMAD ACC # 015795017321052,300000035114656,,,SA,,
"417","294",TAIFSHARST,Cash TAIFSHARST,300000050634924,AL Jazeerah Bank TAIFSHARST,300000050634920,,,SA,,
"418","295",KHMSAVENUE,Cash KHMSAVENUE,300000050662052,AL Jazeerah Bank KHMSAVENUE,300000050662028,,,SA,,
"419","296",JEDNRTHWLK,Cash JEDNRTHWLK,300000050662363,AL Jazeerah Bank JEDNRTHWLK,300000050662308,,,SA,,
"424","299",MEDDARIMAN,Cash MEDDARIMAN,300000050662396,AL Jazeerah Bank MEDDARIMAN,300000050662342,,,SA,,
"425","297",NAJMELAGRO,Cash NAJMELAGRO,300000050662360,AL Jazeerah Bank NAJMELAGRO,300000050662305,,,SA,,
"426","276",QUNKYLPLZA,Cash QUNKYLPLZA,300000050662372,AL Jazeerah Bank QUNKYLPLZA,300000050662318,,,SA,,
"427","300",MEDMVNPICK,Cash MEDMVNPICK,300000050662402,AL Jazeerah Bank MEDMVNPICK,300000050662348,,,SA,,
"428","298",RYDANUDPRK,Cash RYDANUDPRK,300000050662366,AL Jazeerah Bank RYDANUDPRK,300000050662312,,,SA,,
"429","280",KHAMESBLD,Cash KHAMESBLD,300000050662381,AL Jazeerah Bank KHAMESBLD,300000050662327,,,SA,,
"433","275",KHRJHEDITY,Cash KHRJHEDITY,300000050662369,AL Jazeerah Bank KHRJHEDITY,300000050662315,,,SA,,
"434","281",MEDSULTANA,Cash MEDSULTANA,300000050662384,AL Jazeerah Bank MEDSULTANA,300000050662330,,,SA,,
"435","278",JEDCORNCH1,Cash JEDCORNCH1,300000050662378,AL Jazeerah Bank JEDCORNCH1,300000050662324,,,SA,,
"436","277",ALBAHAMAL,Cash ALBAHAMAL,300000050662375,AL Jazeerah Bank ALBAHAMAL,300000050662321,,,SA,,
"534","396",JARIRRD,Cash JARIRRD,300000137243213,AL Jazeerah Bank JARIRRD,300000137243223,,,SA,,
"535","397",SALAMRYD2,Cash SALAMRYD2,300000131004941,AL Jazeerah Bank SALAMRYD2,300000131168065,,,SA,,
"587","423",HILTONMAK3,Cash HILTONMAK3,300000171373289,AL Jazeerah Bank HILTONMAK3,300000171373299,,,SA,,
"589","424",MEDALIYAT,Cash MEDALIYAT,300000171373244,AL Jazeerah Bank MEDALIYAT,300000171373263,,,SA,,
"590","425",JUBGLRIMAL,,,,,,,SA,,
"443","309",RYDALYAPLZ,Cash RYDALYAPLZ,300000050662405,AL Jazeerah Bank RYDALYAPLZ,300000050662351,,,SA,,
"444","310",MAKABRAJ1,Cash MAKABRAJ1,300000050662408,AL Jazeerah Bank MAKABRAJ1,300000050662354,,,SA,,
"445","282",MEDTHEGATE,Cash MEDTHEGATE,300000052482543,AL Jazeerah Bank MEDTHEGATE,300000052407220,,,SA,,
"446","312",ABHLVNDAPK,Cash ABHLVNDAPK,300000050662390,AL Jazeerah Bank ABHLVNDAPK,300000050662336,,,SA,,
"447","313",MAKMYANYRD,Cash MAKMYANYRD,300000050662393,AL Jazeerah Bank MAKMYANYRD,300000050662339,,,SA,,
"448","314",MEDALHIJRA,Cash MEDALHIJRA,300000050662399,AL Jazeerah Bank MEDALHIJRA,300000050662345,,,SA,,
"593","426",NJRANFRONT,Cash NJRANFRONT,300000184638643,AL Jazeerah Bank NJRANFRONT,300000184638647,,,SA,,
"450","315",MAKDNACNTR,Cash MAKDNACNTR,300000050662387,AL Jazeerah Bank MAKDNACNTR,300000050662333,,,SA,,
"488","346",ARARMHMDIA,Cash ARARMHMDIA,300000062388894,AL Jazeerah Bank ARARMHMDIA,300000062388622,,,SA,,
"492","348",KHOQOSAIBI,Cash KHOQOSAIBI,300000059028959,AL Jazeerah Bank KHOQOSAIBI,300000062857219,,,SA,,
"493","349",KHMSBNDWOD,Cash KHMSBNDWOD,300000073517383,AL Jazeerah Bank KHMSBNDWOD,300000073517395,,,SA,,
"494","350",MILAQROTAB,Cash MILAQROTAB,300000066308332,AL Jazeerah Bank MILAQROTAB,300000066308321,,,SA,,
"495","351",ASEERGUNAI,Cash ASEERGUNAIM,300000073517386,AL Jazeerah Bank ASEERGUNAIM,300000073517402,,,SA,,
"496","352",YASMEENPLZ,Cash YASMEENPLZ,300000062388881,AL Jazeerah Bank YASMEENPLZ,300000062388619,,,SA,,
"497","353",WATANIYAHB,Cash WATANIYAHB,300000066308337,AL Jazeerah Bank WATANIYAHB,300000066308325,,,SA,,
"498","354",EHSALBUSTA,Cash EHSALBUSTAN,300000068993287,AL Jazeerah Bank EHSALBUSTAN,300000068993282,,,SA,,
"499","355",RYDYARMOOK,Cash RYDYARMOOK,300000066308340,AL Jazeerah Bank RYDYARMOOK,300000066308329,,,SA,,
"500","356",DAMRIVEIRA,Cash DAMRIVEIRA,300000080938024,AL Jazeerah Bank DAMRIVEIRA,300000075144780,,,SA,,
"513","372",MURJANJED,Cash MURJANJED,300000096820490,AL Jazeerah Bank MURJANJED,300000096820487,,,SA,,
"517","377",QATIFCFRNT,Cash QATIFCFRNT,300000110032561,AL Jazeerah Bank QATIFCFRNT,300000110032545,,,SA,,
"595","427",JUBHUWYLYT,Cash JUBHUWYLYT,300000184930275,Al Jazeerah Bank JUBHUWYLYT,300000184930278,,,SA,,
"597","428",RYDTWIQDIS,Cash RYDTWIQDIS,300000171373302,AL Jazeerah Bank RYDTWIQDIS,300000171373306,,,SA,,
"598","429",JEDNUJOD,Cash JEDNUJOD,300000171373333,AL Jazeerah Bank JEDNUJOD,300000171373336,,,SA,,
"600","430",DWADMIMKAN,Cash DWADMIMKAN,300000171543299,AL Jazeerah Bank DWADMIMKAN,300000171543302,,,SA,,
"602","431",RYDROSHN,Cash RYDROSHN,300000171373310,AL Jazeerah Bank RYDROSHN,300000171373320,,,SA,,
"604","432",BURSULMAVE,Cash BURSULMAVE,300000184930429,Al Jazeerah Bank BURSULMAVE,300000184930431,,,SA,,
"4189","246",CCNTRBHR,Cash Account City Centre Bahra,300000158372846,Ahli United Bank Bahrain - Acc #,300000158372812,,,BH,,
"4190","300",EXBBAH,Cash EXBBAH,300000048705551,Ahli United Bank Bahrain - Acc #,300000158372812,,,BH,,
"607","438",MEDTHEGATE,,,,,,,SA,,
"608","439",MEDSOUQEBQ,Cash MEDSOUQEBQ,300000184638425,AL Jazeerah Bank MEDSOUQEBQ,300000184638428,,,SA,,
"610","440",RYDQURTBAH,Cash RYDQURTBAH,300000224513318,AL Jazeerah Bank RYDQURTBAH,300000180252233,,,SA,,
"612","441",ONZSOQJADD,Cash ONZSOQJADD,300000180252239,AL Jazeerah Bank ONZSOQJADD,300000180252242,,,SA,,
"613","442",JEDMNRHPL,Cash JEDMNRHPLZ,300000183175542,AL Jazeerah Bank JEDMNRHPLZ,300000183175533,,,SA,,
"614","443",MATHNABMAL,Cash MATHNABMAL,300000184930565,AL Jazeerah Bank MJMAKRMMAL Account Acc#,300000184930573,,,SA,,
"616","425",JUBGLRYMAL,Cash JUBGLRYMAL,300000184930693,AL Jazeerah Bank JUBGLRYMAL,300000184930701,,,SA,,
"641","446",MJMAKRMMAL,Cash MJMAKRMMAL,300000203126495,AL Jazeerah Bank MJMAKRMMAL Account Acc#,300000203126499,,,SA,,
"644","449",KHMISMUJAN,Cash KHMISMUJAN,300000202684869,AL Jazeerah Bank KHMISMUJAN,300000224513361,,,SA,,
"645","450",MEDZAMPLMN,Cash MEDZAMPLMN,300000202684163,AL Jazeerah Bank MEDZAMPLMN,300000202684187,,,SA,,
"646","451",KHRJUNFIED,Cash KHRJUNFIED,300000202740462,AL Jazeerah Bank KHRJUNFIED,300000202740467,,,SA,,
"647","452",JURSHIKHIR,Cash JURSHIKHIR,300000203126424,AL Jazeerah Bank JURSHIKHIR Account,300000203126429,,,SA,,
"648","453",DWDMMKANML,Cash  DWDMMKANML,300000203126567,AL Jazeerah Bank DWDMMKANML Account Acc#,300000203126573,,,SA,,
"4167","238",DEERFIELDS,Cash Deerfields Mall,300000004609330,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4168","239",DUBMAL,Cash Dubai Mall,300000025894732,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4169","240",FUJAIRAH,Cash AL Fujairah Mall,300000004609368,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4170","241",MANARRAK,Cash Manar Mall RAK,300000004609380,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4171","242",MARSASEEF,Cash Marsa AL Seef Mall,300000004609342,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4173","244",WEHDA,Cash AL Wehdah Mall,300000004609316,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4174","245",ZAHIA,Cash Zahia mall,300000014490171,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4176","255",FUJAIRAHCC,Cash FujairahCC,300000027801191,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4177","257",MIRDIFFCC,Cash MCC,300000028762475,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4178","322",DEERFIELD2,Cash DEERFIELD2,300000052482670,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4179","341",DUBAIDALMA,Cash DUBAIDALMA,300000056139938,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4180","344",DUBSILCNML,Cash DUBSILCNML,300000056139935,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4181","386",EXBUAE,Cash EXBUAE,300000052482670,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"4182","386",EXBUAE1,,,,,,,AE,,
"4556","1238",UAEBWBTMAL,Cash UAEBWBTMAL,300000221619464,Abu Dhabi Islamic Bank Account AED,300000004609283,,,AE,,
"3589","214",KADI,Cash KADI MALL,300000003335891,AL Jazeerah Bank Kadi Mall Account - Acc # 015795017321036,300000016780593,,,SN,,
"414","290",MEDANDLUSH,CashMEDANDLUSH,300000050405123,AL Jazeerah Bank MEDANDLUSH,300000050405120,,,SA,,
"415","292",MAKSHOUQ,Cash MAKSHOUQ,300000050662357,AL Jazeerah Bank MAKSHOUQ,300000050662302,,,SA,,
"4546","404",RYDAVNUMAL,Cash RYDAVNUMAL,300000215271038,AL Jazeerah Bank RYDAVNUMAL,300000215271032,,,SN,,
"4548","406",SHQRBSATEN,Cash SHQRBSATEN,300000215271035,AL Jazeerah Bank SHQRBSATEN,300000215271027,,,SN,,
"459","322",SMARTSHRYD,Cash SMARTSHRYD,300000052482548,AL Jazeerah Bank SMARTSHRYD,300000052407277,,,SA,,
"460","324",HAMDANYA2,Cash HAMDANYA2,300000052482551,AL Jazeerah Bank HAMDANYA2,300000052407280,,,SA,,
"461","323",ALAQEQRYD,Cash ALAQEQRYD,300000052482557,AL Jazeerah Bank ALAQEQRYD,300000052407286,,,SA,,
"462","325",TAIBAMED,Cash TAIBAMED,300000052482554,AL Jazeerah Bank TAIBAMED,300000052407283,,,SA,,
"463","326",AZIZIARYD,Cash AZIZIARYD,300000052482560,AL Jazeerah Bank AZIZIARYD,300000052407289,,,SA,,
"464","327",THEGATERYD,Cash THEGATERYD,300000052482563,AL Jazeerah Bank THEGATERYD,300000052407292,,,SA,,
"465","328",ALMALGARYD,Cash ALMALGARYD,300000052482566,AL Jazeerah Bank ALMALGARYD,300000052407295,,,SA,,
"4521","1202",KHRJUNFIED,Cash KHRJUNFIED,300000202740462,AL Jazeerah Bank KHRJUNFIED,300000202740467,,,SN,,
"4523","1204",DWDMMKANML,Cash  DWDMMKANML,300000203126567,AL Jazeerah Bank DWDMMKANML Account Acc#,300000203126573,,,SN,,
"4524","1205",BURIDHIMAM,Cash BURIDHIMAM,300000203126641,AL Jazeerah Bank BURIDHIMAM Account ,300000203126645,,,SN,,
"486","342",KHAMISKKHD,Cash KHAMISKKHD,300000056139985,AL Jazeerah Bank KHAMISKKHD,300000056139960,,,SA,,
"503","361",ALQASRMALL,Cash ALQASRMALL,300000080235544,AL Jazeerah Bank ALQASRMALL,300000080235515,,,SA,,
"504","362",KHAMSBLVRD,Cash KHAMSBLVRD,300000080235535,AL Jazeerah Bank KHAMSBLVRD,300000080235512,,,SA,,
"505","363",NAJPARK,Cash NAJPARK,300000080235528,AL Jazeerah Bank NAJPARK,300000080235506,,,SA,,
"506","364",MEDALMATAL,Cash MEDALMATAL,300000080235532,AL Jazeerah Bank MEDALMATAL,300000080235509,,,SA,,
"507","365",MEDMAYAS,Cash MEDMAYAS,300000080235538,AL Jazeerah Bank MEDMAYAS,300000075144787,,,SA,,
"508","366",YANBUMALL,Cash YANBUMALL,300000080235541,AL Jazeerah Bank YANBUMALL,300000075144791,,,SA,,
"509","367",MEDJWALK,Cash MEDJWALK,300000080235547,AL Jazeerah Bank MEDJWALK ,300000080235518,,,SA,,
"510","368",HAILZONE,Cash HAILZONE,300000080235550,AL Jazeerah Bank HAILZONE,300000080235521,,,SA,,
"533","395",QATIFCC,Cash QATIFCC,300000126320045,AL Jazeerah Bank QATIFCC,300000126320048,,,SA,,
"4525","1206",JEDJOHRAML,Cash JEDJOHRAML,300000203623512,AL Jazeerah Bank JEDJOHRAML Account,300000203623519,,,SN,,
"4527","1208",JEDPNORAMA,,,,,,,SN,,
"539","398",TAIFTERAML,Cash TAIFTERAML,300000131004934,AL Jazeerah Bank TAIFTERAML,300000131168047,,,SA,,
"541","399",JEDQURAISH,Cash JEDQURAISH,300000118410757,AL Jazeerah Bank JEDQURAISH,300000118410636,,,SA,,
"542","400",JEDDAHPARK,Cash JEDDAHPARK,300000131004938,AL Jazeerah Bank JEDDAHPARK,300000131168053,,,SA,,
